Run,Model,Location,Intensity,Direction,Value,Occlusions
1,Displacement,center,Light,x,0.000000, 2 
1,Extrapolation,center,Light,x,0.016804, 2 
1,Spring,center,Light,x,0.037250, 2 
2,Displacement,center,Light,x,0.003058, 2 
2,Extrapolation,center,Light,x,0.017239, 2 
2,Spring,center,Light,x,0.036261, 2 
3,Displacement,center,Light,x,0.002746, 2 
3,Extrapolation,center,Light,x,0.018135, 2 
3,Spring,center,Light,x,0.033143, 2 
4,Displacement,center,Light,x,0.006048, 2 
4,Extrapolation,center,Light,x,0.018001, 2 
4,Spring,center,Light,x,0.035461, 2 
5,Displacement,center,Light,x,0.014095, 2 
5,Extrapolation,center,Light,x,0.013635, 2 
5,Spring,center,Light,x,0.035446, 2 
6,Displacement,center,Light,x,0.013391, 2 
6,Extrapolation,center,Light,x,0.010879, 2 
6,Spring,center,Light,x,0.038187, 2 
7,Displacement,center,Light,x,0.024149, 2 
7,Extrapolation,center,Light,x,0.011824, 2 
7,Spring,center,Light,x,0.043624, 2 
8,Displacement,center,Light,x,0.028933, 2 
8,Extrapolation,center,Light,x,0.014738, 2 
8,Spring,center,Light,x,0.045899, 2 
9,Displacement,center,Light,x,0.029618, 2 
9,Extrapolation,center,Light,x,0.015744, 2 
9,Spring,center,Light,x,0.047295, 2 
10,Displacement,center,Light,x,0.034464, 2 
10,Extrapolation,center,Light,x,0.017608, 2 
10,Spring,center,Light,x,0.051089, 2 
1,Displacement,center,Medium,x,0.037068, 2 
1,Extrapolation,center,Medium,x,0.018894, 2 
1,Spring,center,Medium,x,0.053668, 2 
2,Displacement,center,Medium,x,0.039043, 2 
2,Extrapolation,center,Medium,x,0.019259, 2 
2,Spring,center,Medium,x,0.055692, 2 
3,Displacement,center,Medium,x,0.039948, 2 
3,Extrapolation,center,Medium,x,0.018752, 2 
3,Spring,center,Medium,x,0.059608, 2 
4,Displacement,center,Medium,x,0.049037, 2 
4,Extrapolation,center,Medium,x,0.025147, 2 
4,Spring,center,Medium,x,0.067216, 2 
5,Displacement,center,Medium,x,0.045736, 2 
5,Extrapolation,center,Medium,x,0.022292, 2 
5,Spring,center,Medium,x,0.065257, 2 
6,Displacement,center,Medium,x,0.046518, 2 
6,Extrapolation,center,Medium,x,0.020903, 2 
6,Spring,center,Medium,x,0.067503, 2 
7,Displacement,center,Medium,x,0.048651, 2 
7,Extrapolation,center,Medium,x,0.022041, 2 
7,Spring,center,Medium,x,0.070097, 2 
8,Displacement,center,Medium,x,0.054901, 2 
8,Extrapolation,center,Medium,x,0.027186, 2 
8,Spring,center,Medium,x,0.076052, 2 
9,Displacement,center,Medium,x,0.055805, 2 
9,Extrapolation,center,Medium,x,0.026569, 2 
9,Spring,center,Medium,x,0.077695, 2 
10,Displacement,center,Medium,x,0.064788, 2 
10,Extrapolation,center,Medium,x,0.033156, 2 
10,Spring,center,Medium,x,0.084240, 2 
1,Displacement,center,Strong,x,0.067881, 2 
1,Extrapolation,center,Strong,x,0.036624, 2 
1,Spring,center,Strong,x,0.087921, 2 
2,Displacement,center,Strong,x,0.071954, 2 
2,Extrapolation,center,Strong,x,0.039474, 2 
2,Spring,center,Strong,x,0.090412, 2 
3,Displacement,center,Strong,x,0.071101, 2 
3,Extrapolation,center,Strong,x,0.037121, 2 
3,Spring,center,Strong,x,0.091312, 2 
4,Displacement,center,Strong,x,0.069952, 2 
4,Extrapolation,center,Strong,x,0.036369, 2 
4,Spring,center,Strong,x,0.092454, 2 
5,Displacement,center,Strong,x,0.071706, 2 
5,Extrapolation,center,Strong,x,0.036757, 2 
5,Spring,center,Strong,x,0.093411, 2 
6,Displacement,center,Strong,x,0.082583, 2 
6,Extrapolation,center,Strong,x,0.045999, 2 
6,Spring,center,Strong,x,0.102494, 2 
7,Displacement,center,Strong,x,0.077617, 2 
7,Extrapolation,center,Strong,x,0.040246, 2 
7,Spring,center,Strong,x,0.100982, 2 
8,Displacement,center,Strong,x,0.078756, 2 
8,Extrapolation,center,Strong,x,0.041012, 2 
8,Spring,center,Strong,x,0.100896, 2 
9,Displacement,center,Strong,x,0.083323, 2 
9,Extrapolation,center,Strong,x,0.042490, 2 
9,Spring,center,Strong,x,0.102071, 2 
10,Displacement,center,Strong,x,0.085310, 2 
10,Extrapolation,center,Strong,x,0.044583, 2 
10,Spring,center,Strong,x,0.104652, 2 
1,Displacement,center,Light,xy,0.000000, 2 
1,Extrapolation,center,Light,xy,0.025646, 2 
1,Spring,center,Light,xy,0.056946, 2 
2,Displacement,center,Light,xy,0.005634, 2 
2,Extrapolation,center,Light,xy,0.025695, 2 
2,Spring,center,Light,xy,0.058731, 2 
3,Displacement,center,Light,xy,0.006959, 2 
3,Extrapolation,center,Light,xy,0.024631, 2 
3,Spring,center,Light,xy,0.055693, 2 
4,Displacement,center,Light,xy,0.009644, 2 
4,Extrapolation,center,Light,xy,0.022521, 2 
4,Spring,center,Light,xy,0.056038, 2 
5,Displacement,center,Light,xy,0.019212, 2 
5,Extrapolation,center,Light,xy,0.022755, 2 
5,Spring,center,Light,xy,0.058878, 2 
6,Displacement,center,Light,xy,0.014640, 2 
6,Extrapolation,center,Light,xy,0.025180, 2 
6,Spring,center,Light,xy,0.057573, 2 
7,Displacement,center,Light,xy,0.021330, 2 
7,Extrapolation,center,Light,xy,0.027849, 2 
7,Spring,center,Light,xy,0.061488, 2 
8,Displacement,center,Light,xy,0.019831, 2 
8,Extrapolation,center,Light,xy,0.025750, 2 
8,Spring,center,Light,xy,0.061412, 2 
9,Displacement,center,Light,xy,0.023862, 2 
9,Extrapolation,center,Light,xy,0.023442, 2 
9,Spring,center,Light,xy,0.063935, 2 
10,Displacement,center,Light,xy,0.027423, 2 
10,Extrapolation,center,Light,xy,0.023067, 2 
10,Spring,center,Light,xy,0.066332, 2 
1,Displacement,center,Medium,xy,0.037032, 2 
1,Extrapolation,center,Medium,xy,0.031262, 2 
1,Spring,center,Medium,xy,0.072816, 2 
2,Displacement,center,Medium,xy,0.037843, 2 
2,Extrapolation,center,Medium,xy,0.036903, 2 
2,Spring,center,Medium,xy,0.075172, 2 
3,Displacement,center,Medium,xy,0.044693, 2 
3,Extrapolation,center,Medium,xy,0.035669, 2 
3,Spring,center,Medium,xy,0.080170, 2 
4,Displacement,center,Medium,xy,0.053193, 2 
4,Extrapolation,center,Medium,xy,0.047786, 2 
4,Spring,center,Medium,xy,0.088334, 2 
5,Displacement,center,Medium,xy,0.059620, 2 
5,Extrapolation,center,Medium,xy,0.050275, 2 
5,Spring,center,Medium,xy,0.094587, 2 
6,Displacement,center,Medium,xy,0.058576, 2 
6,Extrapolation,center,Medium,xy,0.049553, 2 
6,Spring,center,Medium,xy,0.095070, 2 
7,Displacement,center,Medium,xy,0.062506, 2 
7,Extrapolation,center,Medium,xy,0.059301, 2 
7,Spring,center,Medium,xy,0.099155, 2 
8,Displacement,center,Medium,xy,0.067527, 2 
8,Extrapolation,center,Medium,xy,0.056809, 2 
8,Spring,center,Medium,xy,0.104152, 2 
9,Displacement,center,Medium,xy,0.075027, 2 
9,Extrapolation,center,Medium,xy,0.065149, 2 
9,Spring,center,Medium,xy,0.111298, 2 
10,Displacement,center,Medium,xy,0.077532, 2 
10,Extrapolation,center,Medium,xy,0.064156, 2 
10,Spring,center,Medium,xy,0.113354, 2 
1,Displacement,center,Strong,xy,0.076720, 2 
1,Extrapolation,center,Strong,xy,0.064494, 2 
1,Spring,center,Strong,xy,0.113012, 2 
2,Displacement,center,Strong,xy,0.075103, 2 
2,Extrapolation,center,Strong,xy,0.059993, 2 
2,Spring,center,Strong,xy,0.112971, 2 
3,Displacement,center,Strong,xy,0.076798, 2 
3,Extrapolation,center,Strong,xy,0.063818, 2 
3,Spring,center,Strong,xy,0.115457, 2 
4,Displacement,center,Strong,xy,0.074750, 3 
4,Extrapolation,center,Strong,xy,0.061893, 3 
4,Spring,center,Strong,xy,0.112513, 3 
5,Displacement,center,Strong,xy,0.080412, 3 
5,Extrapolation,center,Strong,xy,0.061150, 3 
5,Spring,center,Strong,xy,0.103403, 3 
6,Displacement,center,Strong,xy,0.074721, 3 
6,Extrapolation,center,Strong,xy,0.060375, 3 
6,Spring,center,Strong,xy,0.112002, 3 
7,Displacement,center,Strong,xy,0.057366, 4 
7,Extrapolation,center,Strong,xy,0.044674, 4 
7,Spring,center,Strong,xy,0.098846, 4 
8,Displacement,center,Strong,xy,0.051149, 5 
8,Extrapolation,center,Strong,xy,0.044825, 5 
8,Spring,center,Strong,xy,0.083933, 5 
9,Displacement,center,Strong,xy,0.044473, 5 
9,Extrapolation,center,Strong,xy,0.035074, 5 
9,Spring,center,Strong,xy,0.094139, 5 
10,Displacement,center,Strong,xy,0.047828, 5 
10,Extrapolation,center,Strong,xy,0.039251, 5 
10,Spring,center,Strong,xy,0.097922, 5 
1,Displacement,center,Light,xyz+,0.020671, 2 
1,Extrapolation,center,Light,xyz+,0.016491, 2 
1,Spring,center,Light,xyz+,0.024160, 2 
2,Displacement,center,Light,xyz+,0.024811, 2 
2,Extrapolation,center,Light,xyz+,0.019648, 2 
2,Spring,center,Light,xyz+,0.029229, 2 
3,Displacement,center,Light,xyz+,0.027065, 2 
3,Extrapolation,center,Light,xyz+,0.020714, 2 
3,Spring,center,Light,xyz+,0.031868, 2 
4,Displacement,center,Light,xyz+,0.033580, 2 
4,Extrapolation,center,Light,xyz+,0.025227, 2 
4,Spring,center,Light,xyz+,0.037625, 2 
5,Displacement,center,Light,xyz+,0.087010, 2 
5,Extrapolation,center,Light,xyz+,0.078449, 2 
5,Spring,center,Light,xyz+,0.092266, 2 
6,Displacement,center,Light,xyz+,0.036416, 2 
6,Extrapolation,center,Light,xyz+,0.025458, 2 
6,Spring,center,Light,xyz+,0.046118, 2 
7,Displacement,center,Light,xyz+,0.044103, 2 
7,Extrapolation,center,Light,xyz+,0.033178, 2 
7,Spring,center,Light,xyz+,0.055440, 2 
8,Displacement,center,Light,xyz+,0.045405, 2 
8,Extrapolation,center,Light,xyz+,0.033964, 2 
8,Spring,center,Light,xyz+,0.055471, 2 
9,Displacement,center,Light,xyz+,0.047440, 2 
9,Extrapolation,center,Light,xyz+,0.033691, 2 
9,Spring,center,Light,xyz+,0.055617, 2 
10,Displacement,center,Light,xyz+,0.048616, 2 
10,Extrapolation,center,Light,xyz+,0.034619, 2 
10,Spring,center,Light,xyz+,0.054896, 2 
1,Displacement,center,Medium,xyz+,0.053518, 2 
1,Extrapolation,center,Medium,xyz+,0.033631, 2 
1,Spring,center,Medium,xyz+,0.060425, 2 
2,Displacement,center,Medium,xyz+,0.065555, 2 
2,Extrapolation,center,Medium,xyz+,0.045036, 2 
2,Spring,center,Medium,xyz+,0.069261, 2 
3,Displacement,center,Medium,xyz+,0.066956, 2 
3,Extrapolation,center,Medium,xyz+,0.042406, 2 
3,Spring,center,Medium,xyz+,0.068701, 2 
4,Displacement,center,Medium,xyz+,0.071560, 2 
4,Extrapolation,center,Medium,xyz+,0.047299, 2 
4,Spring,center,Medium,xyz+,0.067435, 2 
5,Displacement,center,Medium,xyz+,0.075690, 2 
5,Extrapolation,center,Medium,xyz+,0.049582, 2 
5,Spring,center,Medium,xyz+,0.065602, 2 
6,Displacement,center,Medium,xyz+,0.079005, 2 
6,Extrapolation,center,Medium,xyz+,0.046984, 2 
6,Spring,center,Medium,xyz+,0.063516, 2 
7,Displacement,center,Medium,xyz+,0.093082, 2 
7,Extrapolation,center,Medium,xyz+,0.059470, 2 
7,Spring,center,Medium,xyz+,0.079201, 2 
8,Displacement,center,Medium,xyz+,0.101713, 2 
8,Extrapolation,center,Medium,xyz+,0.065027, 2 
8,Spring,center,Medium,xyz+,0.086523, 2 
9,Displacement,center,Medium,xyz+,0.108335, 2 
9,Extrapolation,center,Medium,xyz+,0.073953, 2 
9,Spring,center,Medium,xyz+,0.093534, 2 
10,Displacement,center,Medium,xyz+,0.113553, 2 
10,Extrapolation,center,Medium,xyz+,0.072497, 2 
10,Spring,center,Medium,xyz+,0.102395, 2 
1,Displacement,center,Strong,xyz+,0.116084, 2 
1,Extrapolation,center,Strong,xyz+,0.071048, 2 
1,Spring,center,Strong,xyz+,0.104678, 2 
2,Displacement,center,Strong,xyz+,0.120888, 2 
2,Extrapolation,center,Strong,xyz+,0.073365, 2 
2,Spring,center,Strong,xyz+,0.114772, 2 
3,Displacement,center,Strong,xyz+,0.127714, 2 
3,Extrapolation,center,Strong,xyz+,0.077506, 2 
3,Spring,center,Strong,xyz+,0.126859, 2 
4,Displacement,center,Strong,xyz+,0.128255, 2 
4,Extrapolation,center,Strong,xyz+,0.075689, 2 
4,Spring,center,Strong,xyz+,0.127942, 2 
5,Displacement,center,Strong,xyz+,0.108195, 3 
5,Extrapolation,center,Strong,xyz+,0.079962, 3 
5,Spring,center,Strong,xyz+,0.106956, 3 
