TrackingTiming,PointMatchingTiming,TrackedPoints,TotalPoints,MissingPoints,CostMatrixTiming,EstimationDisplacementTiming,EstimationExtrapolationTiming,EstimationSpringTiming
2.4813,5.6294,192,192,0,4.5296,0.0005,0.0007,0.0107
3.223,5.5802,192,192,0,4.4902,0.0005,0.0007,0.0089
4.3394,8.4825,192,192,0,6.6134,0.0012,0.001,0.0156
2.466,5.5201,192,192,0,4.4513,0.0005,0.0005,0.0094
2.4453,5.487,192,192,0,4.4203,0.0005,0.0007,0.0087
2.2515,5.5761,192,192,0,4.4653,0.0005,0.0005,0.0104
2.2904,5.6545,192,192,0,4.4638,0.0007,0.0005,0.0102
2.5684,5.786,192,192,0,4.663,0.0007,0.0005,0.0102
2.2745,5.6283,192,192,0,4.5293,0.0005,0.0007,0.0102
2.3715,5.5249,192,192,0,4.4367,0.0007,0.0005,0.0102
2.3621,5.5687,192,192,0,4.4694,0.0005,0.0005,0.0102
2.3567,5.5242,192,192,0,4.4479,0.0007,0.0007,0.0102
2.4939,5.6168,192,192,0,4.5291,0.0005,0.0005,0.0089
2.3311,5.5569,192,192,0,4.4426,0.0005,0.0005,0.0125
2.4732,5.6522,192,192,0,4.5222,0.0005,0.0007,0.0104
2.4173,5.5731,192,192,0,4.4807,0.0005,0.0005,0.0094
2.3472,5.569,192,192,0,4.4385,0.001,0.0007,0.0122
2.4099,5.5188,192,192,0,4.4428,0.0005,0.0007,0.0102
2.4138,5.9376,192,192,0,4.4633,0.001,0.0007,0.0153
2.5213,5.5539,192,192,0,4.4587,0.0005,0.0007,0.0094
2.3385,5.5313,192,192,0,4.4523,0.0005,0.0007,0.0099
2.6037,5.7546,192,192,0,4.6609,0.0007,0.0005,0.0097
2.3567,5.5178,192,192,0,4.4472,0.0007,0.0007,0.0099
2.3715,5.5247,192,192,0,4.4502,0.0007,0.0005,0.0092
2.2773,5.6058,192,192,0,4.5171,0.0005,0.0005,0.0099
2.2812,5.5295,192,192,0,4.4482,0.0005,0.0005,0.0087
2.2934,5.5966,192,192,0,4.471,0.0005,0.0005,0.0099
2.3109,5.5334,192,192,0,4.4382,0.0007,0.0005,0.0102
2.3411,5.505,192,192,0,4.43,0.0005,0.0007,0.0099
2.3864,5.5756,192,192,0,4.4725,0.0005,0.0007,0.0112
2.7128,5.58,192,192,0,4.4802,0.0007,0.0007,0.011
3.9152,6.4255,192,192,0,5.24,0.0007,0.0007,0.012
2.4714,5.8383,192,192,0,4.7339,0.0005,0.0007,0.011
2.5684,5.6127,192,192,0,4.515,0.0007,0.0007,0.0117
2.3418,5.5618,192,192,0,4.4843,0.0005,0.0007,0.0102
2.4086,5.5592,192,192,0,4.4403,0.001,0.0007,0.0181
2.3318,5.7766,192,192,0,4.5496,0.0007,0.0005,0.0153
2.3605,5.6667,192,192,0,4.5803,0.0005,0.0005,0.0099
2.3188,6.0208,192,192,0,4.8243,0.0005,0.0007,0.0107
3.4188,5.9949,192,192,0,4.4441,0.0005,0.0007,0.0112
2.649,5.5564,192,192,0,4.4692,0.0005,0.0005,0.0107
2.3446,5.7489,192,192,0,4.6499,0.0005,0.0007,0.011
2.4363,5.5713,192,192,0,4.4789,0.0007,0.0005,0.0097
2.3068,5.4957,192,192,0,4.4252,0.0005,0.0007,0.0089
